"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.05.2020","17.757","17.560","17.225","17.225","61.04K","0.92%"
"26.05.2020","17.595","17.630","17.370","17.370","65.07K","1.33%"
"21.05.2020","17.364","18.055","17.260","17.260","51.24K","-3.70%"
"20.05.2020","18.031","17.875","17.755","17.755","74.68K","0.73%"
"19.05.2020","17.901","17.370","17.340","17.340","62.49K","2.48%"
"18.05.2020","17.468","17.225","17.125","17.125","66.69K","8.12%"
"14.05.2020","16.156","15.755","15.660","15.660","80.68K","3.09%"
"13.05.2020","15.671","15.625","15.545","15.545","52.22K","-0.24%"
"12.05.2020","15.709","15.700","15.525","15.525","42.56K","0.18%"
"11.05.2020","15.680","15.755","15.510","15.510","35.61K","0.58%"
"07.05.2020","15.590","14.920","14.920","14.920","58.81K","3.83%"
"06.05.2020","15.015","15.115","14.840","14.840","49.27K","-0.63%"
"05.05.2020","15.110","14.845","14.760","14.760","38.73K","2.12%"
"04.05.2020","14.796","15.075","14.760","14.760","32.04K","-1.18%"
"30.04.2020","14.973","15.530","14.850","14.850","32.19K","-2.23%"
"29.04.2020","15.315","15.330","15.235","15.235","66.67K","0.36%"
"28.04.2020","15.260","15.375","15.025","15.025","42.10K","-0.25%"
"27.04.2020","15.299","15.475","15.240","15.240","28.28K","-0.53%"
"23.04.2020","15.381","15.350","15.310","15.310","39.19K","0.14%"
"22.04.2020","15.359","15.085","14.875","14.875","47.87K","3.08%"
"21.04.2020","14.900","15.610","14.700","14.700","42.94K","-4.72%"
"20.04.2020","15.638","15.380","15.380","15.380","68.55K","-0.05%"
"16.04.2020","15.646","15.625","15.625","15.625","41.18K","0.75%"
"15.04.2020","15.529","16.090","15.600","15.600","43.47K","-3.87%"
"14.04.2020","16.154","15.810","15.810","15.810","51.17K","3.81%"
"13.04.2020","15.561","16.000","15.470","15.470","63.63K","2.18%"
"08.04.2020","15.229","15.280","15.155","15.155","64.32K","-1.77%"
"07.04.2020","15.504","15.650","15.265","15.265","43.34K","2.05%"
"06.04.2020","15.193","14.655","14.645","14.645","69.75K","3.51%"
"02.04.2020","14.678","14.585","14.575","14.575","38.18K","4.78%"
"01.04.2020","14.008","14.175","14.175","14.175","55.52K","-1.21%"
"31.03.2020","14.180","14.105","14.105","14.105","44.03K","0.17%"
"30.03.2020","14.156","14.730","13.995","13.995","50.96K","-3.54%"
"26.03.2020","14.676","14.770","14.400","14.400","54.39K","-1.32%"
"25.03.2020","14.873","14.415","14.205","14.205","52.83K","4.32%"
"24.03.2020","14.257","13.320","13.220","13.220","78.77K","7.51%"
"23.03.2020","13.261","12.615","12.290","12.290","109.94K","9.29%"
"19.03.2020","12.134","11.975","11.760","11.760","81.76K","3.08%"
"18.03.2020","11.772","12.610","11.640","11.640","77.37K","-5.79%"
