Date,china_industrial_production
2015-07-01,106.0
2015-08-01,106.1
2015-09-01,105.7
2015-10-01,105.6
2015-11-01,106.2
2015-12-01,105.9
2016-01-01,
2016-02-01,105.4
2016-03-01,106.8
2016-04-01,106.0
2016-05-01,106.0
2016-06-01,106.2
2016-07-01,106.0
2016-08-01,106.3
2016-09-01,106.1
2016-10-01,106.1
2016-11-01,106.2
2016-12-01,106.0
2017-01-01,
2017-02-01,106.3
2017-03-01,107.6
2017-04-01,106.5
2017-05-01,106.5
2017-06-01,107.6
2017-07-01,106.4
2017-08-01,106.0
2017-09-01,106.6
2017-10-01,106.2
2017-11-01,106.1
2017-12-01,106.2
2018-01-01,
2018-02-01,107.2
2018-03-01,106.0
2018-04-01,107.0
2018-05-01,106.8
2018-06-01,106.0
2018-07-01,106.0
2018-08-01,106.1
2018-09-01,105.8
2018-10-01,105.9
2018-11-01,105.4
2018-12-01,105.7
2019-01-01,
2019-02-01,105.3
2019-03-01,108.5
2019-04-01,105.4
2019-05-01,105.0
2019-06-01,106.3
2019-07-01,104.8
2019-08-01,104.4
2019-09-01,105.8
2019-10-01,104.7
2019-11-01,106.2
2019-12-01,106.9
2020-01-01,
2020-02-01,86.5
2020-03-01,98.9
2020-04-01,103.9
2020-05-01,104.4
2020-06-01,104.8
2020-07-01,104.8
2020-08-01,105.6
2020-09-01,106.9
2020-10-01,106.9
2020-11-01,107.0
2020-12-01,107.3
2021-01-01,
2021-02-01,
2021-03-01,114.1
2021-04-01,109.8
2021-05-01,108.8
2021-06-01,108.3
2021-07-01,106.4
2021-08-01,105.3
2021-09-01,103.1
2021-10-01,103.5
2021-11-01,103.8
2021-12-01,104.3
2022-01-01,
2022-02-01,
2022-03-01,105.0
2022-04-01,97.1
2022-05-01,100.7
2022-06-01,103.9
2022-07-01,103.8
2022-08-01,104.2
2022-09-01,106.3
2022-10-01,105.0
2022-11-01,102.2
2022-12-01,101.3
2023-01-01,
2023-02-01,
2023-03-01,103.9
2023-04-01,105.6
2023-05-01,103.5
2023-06-01,104.4
2023-07-01,103.7
2023-08-01,104.5
2023-09-01,104.5
2023-10-01,104.6
2023-11-01,106.6
