Date,Open,High,Low,Close,Volume
2015-07-01,238.034,238.034,238.034,238.034,0
2015-08-01,238.033,238.033,238.033,238.033,0
2015-09-01,237.498,237.498,237.498,237.498,0
2015-10-01,237.733,237.733,237.733,237.733,0
2015-11-01,238.017,238.017,238.017,238.017,0
2015-12-01,237.761,237.761,237.761,237.761,0
2016-01-01,237.652,237.652,237.652,237.652,0
2016-02-01,237.336,237.336,237.336,237.336,0
2016-03-01,238.08,238.08,238.08,238.08,0
2016-04-01,238.992,238.992,238.992,238.992,0
2016-05-01,239.557,239.557,239.557,239.557,0
2016-06-01,240.222,240.222,240.222,240.222,0
2016-07-01,240.101,240.101,240.101,240.101,0
2016-08-01,240.545,240.545,240.545,240.545,0
2016-09-01,241.176,241.176,241.176,241.176,0
2016-10-01,241.741,241.741,241.741,241.741,0
2016-11-01,242.026,242.026,242.026,242.026,0
2016-12-01,242.637,242.637,242.637,242.637,0
2017-01-01,243.618,243.618,243.618,243.618,0
2017-02-01,244.006,244.006,244.006,244.006,0
2017-03-01,243.892,243.892,243.892,243.892,0
2017-04-01,244.193,244.193,244.193,244.193,0
2017-05-01,244.004,244.004,244.004,244.004,0
2017-06-01,244.163,244.163,244.163,244.163,0
2017-07-01,244.243,244.243,244.243,244.243,0
2017-08-01,245.183,245.183,245.183,245.183,0
2017-09-01,246.435,246.435,246.435,246.435,0
2017-10-01,246.626,246.626,246.626,246.626,0
2017-11-01,247.284,247.284,247.284,247.284,0
2017-12-01,247.805,247.805,247.805,247.805,0
2018-01-01,248.859,248.859,248.859,248.859,0
2018-02-01,249.529,249.529,249.529,249.529,0
2018-03-01,249.577,249.577,249.577,249.577,0
2018-04-01,250.227,250.227,250.227,250.227,0
2018-05-01,250.792,250.792,250.792,250.792,0
2018-06-01,251.018,251.018,251.018,251.018,0
2018-07-01,251.214,251.214,251.214,251.214,0
2018-08-01,251.663,251.663,251.663,251.663,0
2018-09-01,252.182,252.182,252.182,252.182,0
2018-10-01,252.772,252.772,252.772,252.772,0
2018-11-01,252.594,252.594,252.594,252.594,0
2018-12-01,252.767,252.767,252.767,252.767,0
2019-01-01,252.561,252.561,252.561,252.561,0
2019-02-01,253.319,253.319,253.319,253.319,0
2019-03-01,254.277,254.277,254.277,254.277,0
2019-04-01,255.233,255.233,255.233,255.233,0
2019-05-01,255.296,255.296,255.296,255.296,0
2019-06-01,255.213,255.213,255.213,255.213,0
2019-07-01,255.802,255.802,255.802,255.802,0
2019-08-01,256.036,256.036,256.036,256.036,0
2019-09-01,256.43,256.43,256.43,256.43,0
2019-10-01,257.155,257.155,257.155,257.155,0
2019-11-01,257.879,257.879,257.879,257.879,0
2019-12-01,258.63,258.63,258.63,258.63,0
2020-01-01,259.127,259.127,259.127,259.127,0
2020-02-01,259.25,259.25,259.25,259.25,0
2020-03-01,258.076,258.076,258.076,258.076,0
2020-04-01,256.032,256.032,256.032,256.032,0
2020-05-01,255.802,255.802,255.802,255.802,0
2020-06-01,257.042,257.042,257.042,257.042,0
2020-07-01,258.352,258.352,258.352,258.352,0
2020-08-01,259.316,259.316,259.316,259.316,0
2020-09-01,259.997,259.997,259.997,259.997,0
2020-10-01,260.319,260.319,260.319,260.319,0
2020-11-01,260.911,260.911,260.911,260.911,0
2020-12-01,262.045,262.045,262.045,262.045,0
2021-01-01,262.687,262.687,262.687,262.687,0
2021-02-01,263.579,263.579,263.579,263.579,0
2021-03-01,264.961,264.961,264.961,264.961,0
2021-04-01,266.614,266.614,266.614,266.614,0
2021-05-01,268.383,268.383,268.383,268.383,0
2021-06-01,270.654,270.654,270.654,270.654,0
2021-07-01,271.903,271.903,271.903,271.903,0
2021-08-01,272.676,272.676,272.676,272.676,0
2021-09-01,273.91,273.91,273.91,273.91,0
2021-10-01,276.55,276.55,276.55,276.55,0
2021-11-01,278.919,278.919,278.919,278.919,0
2021-12-01,280.845,280.845,280.845,280.845,0
2022-01-01,282.543,282.543,282.543,282.543,0
2022-02-01,284.5,284.5,284.5,284.5,0
2022-03-01,287.674,287.674,287.674,287.674,0
2022-04-01,288.561,288.561,288.561,288.561,0
2022-05-01,291.298,291.298,291.298,291.298,0
2022-06-01,294.957,294.957,294.957,294.957,0
2022-07-01,294.913,294.913,294.913,294.913,0
2022-08-01,295.097,295.097,295.097,295.097,0
2022-09-01,296.349,296.349,296.349,296.349,0
2022-10-01,298.007,298.007,298.007,298.007,0
2022-11-01,298.786,298.786,298.786,298.786,0
2022-12-01,298.832,298.832,298.832,298.832,0
2023-01-01,300.42,300.42,300.42,300.42,0
2023-02-01,301.45,301.45,301.45,301.45,0
2023-03-01,301.821,301.821,301.821,301.821,0
2023-04-01,302.845,302.845,302.845,302.845,0
