Date,us_oecd_cli
2015-07-01,99.96508
2015-08-01,99.80469
2015-09-01,99.64994
2015-10-01,99.52224
2015-11-01,99.41467
2015-12-01,99.32087
2016-01-01,99.24446
2016-02-01,99.19215
2016-03-01,99.1731
2016-04-01,99.17165
2016-05-01,99.17371
2016-06-01,99.17411
2016-07-01,99.18951
2016-08-01,99.23176
2016-09-01,99.31293
2016-10-01,99.42847
2016-11-01,99.56319
2016-12-01,99.69708
2017-01-01,99.80352
2017-02-01,99.87235
2017-03-01,99.90405
2017-04-01,99.91348
2017-05-01,99.91911
2017-06-01,99.93415
2017-07-01,99.96452
2017-08-01,100.033
2017-09-01,100.131
2017-10-01,100.2471
2017-11-01,100.3643
2017-12-01,100.4772
2018-01-01,100.5871
2018-02-01,100.6859
2018-03-01,100.7467
2018-04-01,100.7645
2018-05-01,100.7493
2018-06-01,100.7076
2018-07-01,100.6413
2018-08-01,100.5526
2018-09-01,100.4275
2018-10-01,100.2606
2018-11-01,100.0662
2018-12-01,99.86469
2019-01-01,99.67632
2019-02-01,99.5174
2019-03-01,99.38998
2019-04-01,99.27512
2019-05-01,99.17093
2019-06-01,99.08028
2019-07-01,99.00743
2019-08-01,98.96103
2019-09-01,98.96491
2019-10-01,99.01381
2019-11-01,99.08697
2019-12-01,99.15616
2020-01-01,99.18732
2020-02-01,99.15326
2020-03-01,97.89362
2020-04-01,93.4837
2020-05-01,94.9228
2020-06-01,96.59299
2020-07-01,97.98195
2020-08-01,98.58877
2020-09-01,98.8585
2020-10-01,99.18831
2020-11-01,99.54637
2020-12-01,99.92159
2021-01-01,100.2579
2021-02-01,100.5935
2021-03-01,100.8863
2021-04-01,101.131
2021-05-01,101.2037
2021-06-01,101.2113
2021-07-01,101.1688
2021-08-01,101.1064
2021-09-01,101.0549
2021-10-01,101.0183
2021-11-01,100.9874
2021-12-01,100.9415
2022-01-01,100.8647
2022-02-01,100.7504
2022-03-01,100.5853
2022-04-01,100.368
2022-05-01,100.1016
2022-06-01,99.82359
2022-07-01,99.57864
2022-08-01,99.38433
2022-09-01,99.22839
2022-10-01,99.10165
2022-11-01,99.00354
2022-12-01,98.94633
2023-01-01,98.92989
2023-02-01,98.93414
2023-03-01,98.95952
2023-04-01,99.02001
2023-05-01,99.11296
2023-06-01,99.2275
2023-07-01,99.33507
2023-08-01,99.42046
2023-09-01,99.48235
2023-10-01,99.53435
2023-11-01,99.60859
2023-12-01,99.71788
2024-01-01,99.85411
